t,vx
15,300
30,300
45,300
60,300
75,300
90,300
105,300
120,300
135,300
150,300
165,300
180,300
195,300
210,299.363
225,297.562
240,295.848
255,295.848
270,295.848
285,295.225
300,294.647
315,294.647
330,294.078
345,293.107
360,293.107
375,293.107
390,293.107
405,292.5
420,290.977
435,290.447
450,289.986
465,289.986
480,289.986
495,289.465
510,289.157
525,288.67
540,288.67
555,288.67
570,287.888
585,287.718
600,286.588
615,286.016
630,285.483
645,285.051
660,285.051
675,285.051
690,284.755
705,284.755
720,283.298
735,282.909
750,282.259
765,282.259
780,282.259
795,282.259
810,281.93
825,281.93
840,281.93
855,281.93
870,281.387
885,280.932
900,280.932
915,280.77
930,280.77
945,280.77
960,280.77
975,280.022
990,279.825
1005,279.34
1020,278.718
1035,277.778
1050,276.988
1065,276.519
1080,276.398
1095,276.398
1110,276.031
1125,276.031
1140,276.031
1155,274.807
1170,274.807
1185,274.807
1200,274.807
1215,274.807
1230,273.716
1245,273.294
1260,272.181
1275,271.619
1290,270.045
1305,269.802
1320,269.802
1335,269.154
1350,268.809
1365,268.326
1380,268.326
1395,268.326
1410,268.326
1425,267.848
1440,267.419
1455,267.18
1470,266.826
1485,266.618
1500,266.618
1515,266.618
1530,266.415
1545,266.415
1560,265.726
1575,265.726
1590,265.147
1605,264.555
1620,264.555
1635,264.555
1650,263.949
1665,263.949
1680,263.949
1695,263.949
1710,263.949
1725,263.949
1740,263.392
1755,262.44
1770,262.44
1785,262.03
1800,262.03
1815,262.03
1830,262.03
1845,262.03
1860,261.854
1875,261.395
1890,260.551
1905,260.359
1920,259.885
1935,259.885
1950,259.286
1965,259.058
1980,258.523
1995,257.798
2010,257.798
2025,257.135
2040,256.624
2055,256.624
2070,256.624
2085,256.624
2100,256.624
2115,255.596
2130,255.596
2145,255.596
2160,255.596
2175,255.596
2190,254.903
2205,255.37
2220,254.903
2235,255.37
2250,254.294
2265,254.761
2280,253.591
2295,254.058
2310,253.135
2325,253.601
2340,252.515
2355,252.581
2370,251.55
2385,251.562
2400,251.55
2415,251.562
2430,251.55
2445,251.431
2460,251.42
2475,250.767
2490,250.755
2505,250.767
2520,250.682
2535,250.695
2550,250.682
2565,250.695
2580,250.405
2595,250.203
2610,249.843
2625,249.855
2640,249.843
2655,249.855
2670,249.843
2685,248.571
2700,247.8
2715,247.812
2730,246.678
2745,246.688
2760,246.678
2775,246.688
2790,246.346
2805,246.356
2820,245.599
2835,245.599
2850,245.599
2865,244.735
2880,244.735
2895,244.735
2910,244.735
2925,244.615
2940,244.204
2955,243.522
2970,243.001
2985,243.001
3000,243.001
3015,242.751
3030,242.751
3045,242.751
3060,242.751
3075,242.751
3090,242.751
3105,242.751
3120,242.586
3135,241.46
3150,241.078
3165,240.742
3180,240.742
3195,240.075
3210,239.543
3225,239.543
3240,239.178
3255,238.866
3270,238.719
3285,238.616
3300,238.234
3315,238.234
3330,238.234
3345,238.234
3360,237.497
3375,237.497
3390,237.497
3405,237.497
3420,237.024
3435,236.821
3450,236.821
3465,236.821
3480,236.302
3495,235.216
3510,235.216
3525,234.301
3540,233.813
3555,233.813
3570,233.813
3585,233.813
3600,233.514
3615,233.514
3630,232.368
3645,232.368
3660,231.656
3675,231.656
3690,231.656
3705,230.507
3720,230.145
3735,230.145
3750,230.145
3765,230.145
3780,230.145
3795,230.145
3810,229.668
3825,229.485
3840,228.823
3855,228.823
3870,228.823
3885,227.642
3900,227.642
3915,227.642
3930,227.313
3945,226.027
3960,226.027
3975,226.027
3990,226.027
4005,225.934
4020,225.934
4035,224.946
4050,224.946
4065,224.241
4080,224.241
4095,223.881
4110,223.464
4125,223.464
4140,223.464
4155,223.155
4170,223.155
4185,222.367
4200,221.985
4215,221.985
4230,221.985
4245,221.244
4260,221.244
4275,220.444
4290,220.444
4305,220.444
4320,220.444
4335,220.234
4350,220.234
4365,220.234
4380,220.109
4395,220.109
4410,219.581
4425,219.319
4440,219.041
4455,219.041
4470,218.635
4485,218.845
4500,219.21
4515,218.252
4530,218.837
4545,218.753
4560,218.5
4575,218.003
4590,218.575
4605,218.109
4620,218.03
4635,217.543
4650,217.489
4665,216.728
4680,216.308
4695,216.891
4710,216.711
4725,216.681
4740,216.436
4755,216.318
4770,215.966
4785,215.822
4800,215.24
4815,215.24
4830,215.24
4845,214.838
4860,214.838
4875,214.318
4890,214.318
4905,213.944
4920,213.944
4935,213.944
4950,213.944
4965,213.391
4980,213.391
4995,213.328
5010,213.328
5025,213.328
5040,213.008
5055,213.008
5070,213.008
5085,213.008
5100,212.799
5115,212.799
5130,212.799
