t,vx
0,200
16,200
32,200
48,200
64,200
80,200
96,200
112,200
128,200
144,200
160,200
176,200
192,200
208,200
224,200
240,199.491
256,198.59
272,198.59
288,197.735
304,197.393
320,197.393
336,196.923
352,196.923
368,196.501
384,196.501
400,196.077
416,196.077
432,195.677
448,195.167
464,195.167
480,194.871
496,193.371
512,193.371
528,193.061
544,192.569
560,192.268
576,192.268
592,192.173
608,192.173
624,192.173
640,191.452
656,190.582
672,190.582
688,190.582
704,190.582
720,190.242
736,190.242
752,190.242
768,190.242
784,190.242
800,190.242
816,190.242
832,190.242
848,190.242
864,189.79
880,189.79
896,189.224
912,189.224
928,188.705
944,188.705
960,188.491
976,188.491
992,187.907
1008,187.541
1024,187.541
1040,187.447
1056,187.447
1072,187.295
1088,186.888
1104,186.587
1120,186.587
1136,186.587
1152,185.633
1168,185.341
1184,185.341
1200,185.341
1216,185.135
1232,185.135
1248,184.662
1264,184.662
1280,184.662
1296,184.16
1312,184.16
1328,184.16
1344,183.448
1360,183.448
1376,183.448
1392,183.349
1408,182.817
1424,182.344
1440,182.014
1456,182.014
1472,182.014
1488,182.014
1504,182.014
1520,182.014
1536,181.93
1552,181.734
1568,181.734
1584,181.526
1600,181.138
1616,181.138
1632,181.138
1648,180.811
1664,180.811
1680,180.811
1696,180.811
1712,180.504
1728,180.43
1744,180.43
1760,180.43
1776,180.43
1792,180.43
1808,180.43
1824,180.43
1840,180.16
1856,180.16
1872,180.16
1888,180.16
1904,179.801
1920,178.937
1936,178.766
1952,178.626
1968,178.626
1984,178.626
2000,178.185
2016,178.185
2032,178.185
2048,177.985
2064,177.985
2080,177.641
2096,177.484
2112,177.484
2128,177.114
2144,177.114
2160,177.114
2176,177.114
2192,177.114
2208,177.114
2224,177.114
2240,177.114
2256,176.878
2272,176.679
2288,176.679
2304,176.679
2320,176.679
2336,175.869
2352,175.869
2368,175.869
2384,175.644
2400,175.232
2416,175.232
2432,175.232
2448,175.232
2464,175.232
2480,175.132
2496,175.132
2512,175.132
2528,175.132
2544,175.034
2560,174.401
2576,174.123
2592,174.123
2608,173.875
2624,173.875
2640,173.875
2656,173.875
2672,173.875
2688,173.875
2704,173.674
2720,173.375
2736,173.048
2752,173.048
2768,172.923
2784,172.923
2800,172.923
2816,172.723
2832,172.479
2848,171.816
2864,171.816
2880,171.816
2896,171.816
2912,171.509
2928,171.285
2944,171.285
2960,171.01
2976,170.856
2992,170.514
3008,170.275
3024,170.275
3040,170.275
3056,169.821
3072,169.821
3088,169.49
3104,169.49
3120,169.49
3136,168.798
3152,168.798
3168,168.798
3184,168.436
3200,168.436
3216,168.436
3232,168.436
3248,168.436
3264,168.436
3280,168.436
3296,168.275
3312,167.945
3328,167.945
3344,167.945
3360,167.945
3376,167.945
3392,167.945
3408,167.41
3424,167.41
3440,167.41
3456,167.41
3472,167.41
3488,167.41
3504,167.41
3520,167.41
3536,167.41
3552,167.203
3568,166.975
3584,166.668
3600,166.211
3616,166.211
3632,166.211
3648,166.211
3664,166.211
3680,166.211
3696,166.211
3712,166.211
3728,166.211
3744,166.211
3760,166.05
3776,166.05
3792,166.05
3808,166.05
3824,166.05
3840,166.05
3856,166.05
3872,164.904
3888,164.904
3904,164.661
3920,164.661
3936,164.435
3952,164.435
3968,164.228
3984,163.753
4000,163.753
4016,163.753
4032,163.038
4048,163.038
4064,163.038
4080,162.597
4096,162.597
4112,162.087
4128,161.788
4144,161.788
4160,161.788
4176,161.788
4192,161.788
4208,161.475
4224,161.475
4240,161.475
4256,161.475
4272,161.252
4288,161.252
4304,161.252
4320,161.252
4336,161.252
4352,160.817
4368,160.542
4384,160.289
4400,160.289
4416,159.789
4432,159.789
4448,159.789
4464,159.516
4480,159.516
4496,159.516
4512,159.516
4528,159.413
4544,159.265
4560,159.265
4576,159.265
4592,159.265
4608,158.982
4624,158.982
4640,158.982
4656,158.717
4672,158.717
4688,158.717
4704,158.717
4720,158.717
4736,158.717
4752,158.717
4768,158.492
4784,158.492
4800,158.492
4816,158.05
4832,158.05
4848,158.05
4864,158.05
4880,157.689
4896,157.283
4912,157.283
4928,156.587
4944,156.26
4960,156.26
4976,156.26
4992,156.26
5008,156.26
5024,156.26
5040,156.26
5056,156.26
5072,156.26
5088,156.26
5104,156.127
5120,156.127
5136,156.127
5152,156.127
5168,156.127
5184,156.061
5200,155.943
5216,155.665
5232,155.534
5248,155.212
5264,155.052
5280,154.847
5296,154.847
5312,154.847
5328,154.847
5344,154.847
5360,154.847
5376,154.847
5392,154.847
5408,154.847
5424,154.847
5440,154.847
5456,154.847
5472,154.459
5488,154.369
5504,154.369
5520,154.369
5536,154.131
5552,153.362
5568,153.362
5584,153.232
5600,153.232
5616,153.232
5632,152.967
5648,152.955
5664,152.837
5680,152.837
5696,152.837
5712,152.576
5728,152.459
5744,152.459
5760,152.459
5776,152.459
5792,152.168
5808,151.85
5824,151.85
5840,151.85
5856,151.773
5872,151.773
5888,151.717
5904,151.438
5920,151.438
5936,151.438
5952,151.438
5968,151.438
5984,151.438
6000,151.308
6016,151.308
6032,151.308
